"id","region","item_type","price","created_at"
"4609","Hlavní město Praha","Electronics","7000","2024-04-06 19:20:21"
"4610","Jihomoravský kraj","Clothing","18950","2024-04-06 19:20:21"
"4611","Středočeský kraj","Tools","15060","2024-04-06 19:20:21"
"4612","Moravskoslezský kraj","Books","27699","2024-04-06 19:20:21"
"4613","Jihočeský kraj","Home Appliances","21997","2024-04-06 19:20:21"
"4614","Plzeňský kraj","Other","27352","2024-04-06 19:20:21"
"4615","Olomoucký kraj","Jewelry","17234","2024-04-06 19:20:21"
"4616","Ústecký kraj","Toys","15477","2024-04-06 19:20:21"
"4617","Liberecký kraj","Food","28543","2024-04-06 19:20:21"
"4618","Karlovarský kraj","Furniture","8711","2024-04-06 19:20:21"
"4619","Pardubický kraj","Sports Equipment","2076","2024-04-06 19:20:21"
"4620","Kraj Vysočina","Electronics","12345","2024-04-06 19:20:21"
"4621","Karlovarský kraj","Clothing","29814","2024-04-06 19:20:21"
"4622","Středočeský kraj","Home Appliances","29850","2024-04-06 19:20:21"
"4623","Olomoucký kraj","Books","24319","2024-04-06 19:20:21"
"4624","Ústecký kraj","Furniture","18843","2024-04-06 19:20:21"
"4625","Liberecký kraj","Jewelry","29459","2024-04-06 19:20:21"
"4626","Plzeňský kraj","Food","21314","2024-04-06 19:20:21"
"4627","Jihomoravský kraj","Tools","13789","2024-04-06 19:20:21"
"4628","Pardubický kraj","Toys","24962","2024-04-06 19:20:21"
"4629","Moravskoslezský kraj","Sports Equipment","29213","2024-04-06 19:20:21"
"4630","Zlínský kraj","Other","28547","2024-04-06 19:20:21"
"4631","Královéhradecký kraj","Electronics","28165","2024-04-06 19:20:21"
"4632","Zlínský kraj","Clothing","13579","2024-04-06 19:20:21"
"4633","Kraj Vysočina","Furniture","9502","2024-04-06 19:20:21"
"4634","Hlavní město Praha","Books","23451","2024-04-06 19:20:21"
"4635","Karlovarský kraj","Jewelry","18753","2024-04-06 19:20:21"
"4636","Moravskoslezský kraj","Food","27198","2024-04-06 19:20:21"
"4637","Středočeský kraj","Electronics","22677","2024-04-06 19:20:21"
"4638","Ústecký kraj","Clothing","15782","2024-04-06 19:20:21"
"4639","Jihočeský kraj","Tools","29536","2024-04-06 19:20:21"
"4640","Pardubický kraj","Books","18190","2024-04-06 19:20:21"
"4641","Kraj Vysočina","Home Appliances","26193","2024-04-06 19:20:21"
"4642","Liberecký kraj","Other","11477","2024-04-06 19:20:21"
"4643","Hlavní město Praha","Jewelry","21865","2024-04-06 19:20:21"
"4644","Zlínský kraj","Toys","19843","2024-04-06 19:20:21"
"4645","Olomoucký kraj","Sports Equipment","23016","2024-04-06 19:20:21"
"4646","Moravskoslezský kraj","Electronics","19275","2024-04-06 19:20:21"
"4647","Karlovarský kraj","Food","16537","2024-04-06 19:20:21"
"4648","Jihomoravský kraj","Furniture","25314","2024-04-06 19:20:21"
