mesto,url
Benešov,https://www.benesov-city.cz/opendata-uredni-deska
Beroun,https://www.mesto-beroun.cz/api/open-data/ofn62022b6cc2969
Blansko,https://www.blansko.cz/opendata/urednideska
Břeclav,https://sluzby.breclav.eu/opendata/ODTURD02.json
Brno,https://edeska.brno.cz/eDeska/opendata
Bruntál,https://www.mubruntal.cz/opendata-uredni-deska
České Budějovice,https://www.c-budejovice.cz/json-uredni-deska
Český Krumlov,https://www.ckrumlov.cz/eDeska/opendata/
Cheb,https://www.cheb.cz/opendata-uredni-deska
Hodonín,https://www.hodonin.eu/opendata-uredni-deska
Hradec Králové,https://edeska.mmhk.cz/eDeska/opendata
Jablonec nad Nisou,https://www.mestojablonec.cz/48a22277df6c0b20238fd4b8cab663af
Jičín,https://www.mujicin.cz/opendata-uredni-deska
Karlovy Vary,https://opendata.mmkv.cz/uredni-deska.jsonld
Kladno,https://www.mestokladno.cz/opendata-uredni-deska
Kroměříž,https://www.mesto-kromeriz.cz/fileadmin/opendata/uredni-deska.json
Kutná Hora,https://mu.kutnahora.cz/officeboard/open-data
Litoměřice,https://data.litomerice.cz/export/eud-litomerice.jsonld
Louny,https://www.mulouny.cz/7e7f687bd1472b7132c4ce04d1a216d5
Mělník,https://www.melnik.cz/opendata-uredni-deska
Mladá Boleslav,https://www.mb-net.cz/opendata-uredni-deska
Nymburk,https://opendeska.mesto-nymburk.cz/pub/opendata
Ostrava,https://www.ostrava.cz/cs/urad/uredni-deska/uredni-deska.json
Pardubice,https://pardubice.eu/export/official-board-json
Písek,https://www.mesto-pisek.cz/opendata-uredni-deska
Plzeň,https://opendata.plzen.eu/public/opendata/dashboard-data?organisation=mmp
Prachatice,https://www.prachatice.eu/opendata-uredni-deska
Praha 2,https://edeska.praha2.cz/eDeska/opendata
Praha 3,https://www.praha3.cz/eDeska/opendata
Praha 9,https://www.praha9.cz/eDeska/opendata
Praha 11,https://www.praha11.cz/c80d495fc598e689132ba10d5835165e
Praha 12,https://www.praha12.cz/opendata-uredni-deska
Praha 15,https://www.praha15.cz/opendata-uredni-deska
Praha 17,https://edeska.repy.cz/opendata
Praha 18,https://www.letnany.cz/opendata-uredni-deska
Praha 19,https://kbely.imunis.cz/edeska/opendata
Přerov,https://www.prerov.eu/609a0c14484f5f92c0258cf1b1e09dde
Prostějov,https://www.prostejov.eu/e79cfce6f12e2fdfd5d09415438fb0dc
Rakovník,https://www.mesto-rakovnik.cz/api/open-data/ofn61f913bcc2dba
Rokycany,https://www.rokycany.cz/opendata-uredni-deska
Rychnov nad Kněžnou,https://www.rychnov-city.cz/opendata-uredni-deska
Semily,https://www.semily.cz/opendata-uredni-deska
Sokolov,https://www.sokolov.cz/opendata-uredni-deska
Strakonice,https://espis.strakonice.eu/eDeska/opendata
Šumperk,https://www.sumperk.cz/91c84459fba2fbc1bd3dc471e440eb08
Tábor,https://www.taborcz.eu/opendata-uredni-deska
Tachov,https://www.tachov-mesto.cz/opendata/uredni-deska
Teplice,https://www.teplice.cz/opendata-uredni-deska
Třebíč,https://www.trebic.cz/opendata-uredni-deska
Vsetín,https://www.mestovsetin.cz/opendata-uredni-deska
Vyškov,https://www.vyskov-mesto.cz/opendata-uredni-deska
Zlín,https://www.zlin.eu/api/opendata
Znojmo,https://www.znojmocity.cz/opendata-uredni-deska
